,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State
764,675000,USD,Keller Williams Realty,New,5,4.0,3452,sqft,"7402 134th Street Ct E, Puyallup, WA 98373",Puyallup, WA 98373
765,435000,USD,"Skyline Properties, Inc.",New,3,3.0,1620,sqft,"1307 S J St, Tacoma, WA 98405",Tacoma, WA 98405
766,668000,USD,Better Homes and Gardens RE PC,New,4,2.5,3351,sqft,"17418 135th Avenue Ct E, Puyallup, WA 98374",Puyallup, WA 98374
767,630000,USD,BETTER PROPERTIES REAL ESTATE,New,4,2.5,3050,sqft,"4026 Highlands Blvd, Puyallup, WA 98372",Puyallup, WA 98372
768,400000,USD,Windermere Professional Partners,New,3,1.0,1232,sqft,"3508 N 24th St, Tacoma, WA 98406",Tacoma, WA 98406
769,999880,USD,Windermere Real Estate PSK Inc,New,5,3.5,3376,sqft,"8911 N Thorne Ln SW, Lakewood, WA 98498",Lakewood, WA 98498
770,790000,USD,"Windermere Re Puyallup, Inc",New,3,2.5,2205,sqft,"27414 30th Avenue Ct E, Spanaway, WA 98387",Spanaway, WA 98387
771,775000,USD,"Windermere R E/Lake Tapps, Inc",New,3,2.5,2376,sqft,"3223 Deer Island Dr E, Lake Tapps, WA 98391",Lake Tapps, WA 98391
772,835000,USD,RE/MAX Exclusive,New,4,2.5,2832,sqft,"10104 51st St NW, Gig Harbor, WA 98335",Gig Harbor, WA 98335
773,749500,USD,Windermere Professional Partners,New,3,2.5,2870,sqft,"3708 119th Street Ct NW, Gig Harbor, WA 98332",Gig Harbor, WA 98332
774,599900,USD,Keller Williams Rlty Bellevue,New,5,3.0,2711,sqft,"13102 180th Ave E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
775,874950,USD,American Classic Homes Real Estate,New,3,3.5,2904,sqft,"13714 190th Ave E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
